Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Uruguay,Consumer Price Index CPI,2016-01-31T00:00:00,153.74,Monthly,URUGUAYCONPRIINDCPI,2016-02-08T20:04:00
Uruguay,Consumer Price Index CPI,2016-02-29T00:00:00,156.2,Monthly,URUGUAYCONPRIINDCPI,2016-03-03T17:22:00
Uruguay,Consumer Price Index CPI,2016-03-31T00:00:00,157.82,Monthly,URUGUAYCONPRIINDCPI,2016-04-05T18:24:00
Uruguay,Consumer Price Index CPI,2016-04-30T00:00:00,158.54,Monthly,URUGUAYCONPRIINDCPI,2016-05-07T10:26:00
Uruguay,Consumer Price Index CPI,2016-05-31T00:00:00,160.07,Monthly,URUGUAYCONPRIINDCPI,2016-06-03T18:46:00
Uruguay,Consumer Price Index CPI,2016-06-30T00:00:00,160.71,Monthly,URUGUAYCONPRIINDCPI,2016-07-05T18:15:00
Uruguay,Consumer Price Index CPI,2016-07-31T00:00:00,161.34,Monthly,URUGUAYCONPRIINDCPI,2016-08-03T22:04:00
Uruguay,Consumer Price Index CPI,2016-08-31T00:00:00,162.26,Monthly,URUGUAYCONPRIINDCPI,2016-09-05T18:21:00
Uruguay,Consumer Price Index CPI,2016-09-30T00:00:00,162.66,Monthly,URUGUAYCONPRIINDCPI,2016-10-08T10:26:00
Uruguay,Consumer Price Index CPI,2016-10-31T00:00:00,162.96,Monthly,URUGUAYCONPRIINDCPI,2016-11-04T17:32:00
Uruguay,Consumer Price Index CPI,2016-11-30T00:00:00,163.12,Monthly,URUGUAYCONPRIINDCPI,2016-12-05T21:24:00
Uruguay,Consumer Price Index CPI,2016-12-31T00:00:00,162.23,Monthly,URUGUAYCONPRIINDCPI,2017-01-04T17:24:00
Uruguay,Consumer Price Index CPI,2017-01-31T00:00:00,166.45,Monthly,URUGUAYCONPRIINDCPI,2017-02-03T17:47:00
Uruguay,Consumer Price Index CPI,2017-02-28T00:00:00,167.28,Monthly,URUGUAYCONPRIINDCPI,2017-03-03T17:18:00
Uruguay,Consumer Price Index CPI,2017-03-31T00:00:00,168.41,Monthly,URUGUAYCONPRIINDCPI,2017-04-05T17:30:00
Uruguay,Consumer Price Index CPI,2017-04-30T00:00:00,168.78,Monthly,URUGUAYCONPRIINDCPI,2017-05-04T17:57:00
Uruguay,Consumer Price Index CPI,2017-05-31T00:00:00,169,Monthly,URUGUAYCONPRIINDCPI,2017-06-05T17:11:00
Uruguay,Consumer Price Index CPI,2017-06-30T00:00:00,169.25,Monthly,URUGUAYCONPRIINDCPI,2017-07-05T17:14:00
Uruguay,Consumer Price Index CPI,2017-07-31T00:00:00,169.79,Monthly,URUGUAYCONPRIINDCPI,2017-08-05T10:08:00
Uruguay,Consumer Price Index CPI,2017-08-31T00:00:00,171.1,Monthly,URUGUAYCONPRIINDCPI,2017-09-05T17:20:00
Uruguay,Consumer Price Index CPI,2017-09-30T00:00:00,172.02,Monthly,URUGUAYCONPRIINDCPI,2017-10-06T10:48:00
