Country,Category,DateTime,Value,Treatment_Subject, AfterIntervention,Treatm*AftIntv
Uruguay,Consumer Price Index CPI,2016-12-31T00:00:00,162.23,1,0,0
Uruguay,Consumer Price Index CPI,2017-01-31T00:00:00,166.45,1,0,0
Uruguay,Consumer Price Index CPI,2017-02-28T00:00:00,167.28,1,0,0
Uruguay,Consumer Price Index CPI,2017-03-31T00:00:00,168.41,1,0,0
Uruguay,Consumer Price Index CPI,2017-04-30T00:00:00,168.78,1,0,0
Uruguay,Consumer Price Index CPI,2017-05-31T00:00:00,169,1,0,0
Uruguay,Consumer Price Index CPI,2017-06-30T00:00:00,169.25,1,0,0
Uruguay,Consumer Price Index CPI,2017-07-31T00:00:00,169.79,1,0,0
Uruguay,Consumer Price Index CPI,2017-08-31T00:00:00,171.1,1,0,0
Uruguay,Consumer Price Index CPI,2017-09-30T00:00:00,172.02,1,0,0
Uruguay,Consumer Price Index CPI,2017-10-31T00:00:00,172.81,1,0,0
Uruguay,Consumer Price Index CPI,2017-11-30T00:00:00,173.39,1,0,0
Uruguay,Consumer Price Index CPI,2017-12-31T00:00:00,172.86,1,0,0
Uruguay,Consumer Price Index CPI,2018-01-31T00:00:00,177.55,1,0,0
Uruguay,Consumer Price Index CPI,2018-02-28T00:00:00,179.11,1,0,0
Uruguay,Consumer Price Index CPI,2018-03-31T00:00:00,179.61,1,0,0
Uruguay,Consumer Price Index CPI,2018-04-30T00:00:00,179.73,1,0,0
Uruguay,Consumer Price Index CPI,2018-05-31T00:00:00,181.19,1,0,0
Uruguay,Consumer Price Index CPI,2018-06-30T00:00:00,182.98,1,0,0
Uruguay,Consumer Price Index CPI,2018-07-31T00:00:00,184.07,1,0,0
Uruguay,Consumer Price Index CPI,2018-08-31T00:00:00,185.31,1,0,0
Uruguay,Consumer Price Index CPI,2018-09-30T00:00:00,186.23,1,0,0
Uruguay,Consumer Price Index CPI,2018-10-31T00:00:00,186.66,1,0,0
Uruguay,Consumer Price Index CPI,2018-11-30T00:00:00,187.34,1,0,0
Uruguay,Consumer Price Index CPI,2018-12-31T00:00:00,186.62,1,0,0
Uruguay,Consumer Price Index CPI,2019-01-31T00:00:00,190.67,1,1,1
Uruguay,Consumer Price Index CPI,2019-02-28T00:00:00,192.53,1,1,1
Uruguay,Consumer Price Index CPI,2019-03-31T00:00:00,193.59,1,1,1
Uruguay,Consumer Price Index CPI,2019-04-30T00:00:00,194.42,1,1,1
Uruguay,Consumer Price Index CPI,2019-05-31T00:00:00,195.19,1,1,1
Uruguay,Consumer Price Index CPI,2019-06-30T00:00:00,196.44,1,1,1
Uruguay,Consumer Price Index CPI,2019-07-31T00:00:00,197.94,1,1,1
Uruguay,Consumer Price Index CPI,2019-08-31T00:00:00,199.69,1,1,1
Uruguay,Consumer Price Index CPI,2019-09-30T00:00:00,200.72,1,1,1
Uruguay,Consumer Price Index CPI,2019-10-31T00:00:00,202.23,1,1,1
Uruguay,Consumer Price Index CPI,2019-11-30T00:00:00,203.08,1,1,1
Uruguay,Consumer Price Index CPI,2019-12-31T00:00:00,203.02,1,1,1
Uruguay,Consumer Price Index CPI,2020-01-31T00:00:00,207.27,1,1,1
Uruguay,Consumer Price Index CPI,2020-02-29T00:00:00,208.54,1,1,1
Uruguay,Consumer Price Index CPI,2020-03-31T00:00:00,211.32,1,1,1
Uruguay,Consumer Price Index CPI,2020-04-30T00:00:00,215.54,1,1,1
Uruguay,Consumer Price Index CPI,2020-05-31T00:00:00,216.76,1,1,1
Uruguay,Consumer Price Index CPI,2020-06-30T00:00:00,216.8,1,1,1
Uruguay,Consumer Price Index CPI,2020-07-31T00:00:00,233.92,1,1,1
Uruguay,Consumer Price Index CPI,2020-08-31T00:00:00,219.24,1,1,1
Uruguay,Consumer Price Index CPI,2020-09-30T00:00:00,220.64,1,1,1
Uruguay,Consumer Price Index CPI,2020-10-31T00:00:00,221.92,1,1,1
Uruguay,Consumer Price Index CPI,2020-11-30T00:00:00,222.55,1,1,1
Uruguay,Consumer Price Index CPI,2020-12-31T00:00:00,222.13,1,1,1
Uruguay,Consumer Price Index CPI,2021-01-31T00:00:00,225.69,1,1,1
Uruguay,Consumer Price Index CPI,2021-02-28T00:00:00,227.55,1,1,1
Uruguay,Consumer Price Index CPI,2021-03-31T00:00:00,228.95,1,1,1
Uruguay,Consumer Price Index CPI,2021-04-30T00:00:00,230.1,1,1,1
Uruguay,Consumer Price Index CPI,2021-05-31T00:00:00,231.15,1,1,1
Uruguay,Consumer Price Index CPI,2021-06-30T00:00:00,232.69,1,1,1
Uruguay,Consumer Price Index CPI,2021-07-31T00:00:00,233.9,1,1,1
Uruguay,Consumer Price Index CPI,2021-08-31T00:00:00,235.82,1,1,1
Uruguay,Consumer Price Index CPI,2021-09-30T00:00:00,236.98,1,1,1
Uruguay,Consumer Price Index CPI,2021-10-31T00:00:00,239.44,1,1,1
Uruguay,Consumer Price Index CPI,2021-11-30T00:00:00,240.05,1,1,1
Uruguay,Consumer Price Index CPI,2021-12-31T00:00:00,239.81,1,1,1
Uruguay,Consumer Price Index CPI,2022-01-31T00:00:00,244.09,1,1,1
Uruguay,Consumer Price Index CPI,2022-02-28T00:00:00,247.68,1,1,1
Uruguay,Consumer Price Index CPI,2022-03-31T00:00:00,250.42,1,1,1
Uruguay,Consumer Price Index CPI,2022-04-30T00:00:00,251.65,1,1,1
Argentina,Consumer Price Index CPI,2016-12-31T00:00:00,100,0,0,0
Argentina,Consumer Price Index CPI,2017-01-31T00:00:00,101.5859,0,0,0
Argentina,Consumer Price Index CPI,2017-02-28T00:00:00,103.6859,0,0,0
Argentina,Consumer Price Index CPI,2017-03-31T00:00:00,106.1476,0,0,0
Argentina,Consumer Price Index CPI,2017-04-30T00:00:00,108.9667,0,0,0
Argentina,Consumer Price Index CPI,2017-05-31T00:00:00,110.5301,0,0,0
