Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Uruguay,Exports,2016-01-31T00:00:00,422114,Monthly,URUGUAYEXPXPORTS,2019-12-30T18:52:00
Uruguay,Exports,2016-02-29T00:00:00,506845,Monthly,URUGUAYEXPXPORTS,2019-03-29T22:09:00
Uruguay,Exports,2016-03-31T00:00:00,494409,Monthly,URUGUAYEXPXPORTS,2019-03-29T22:09:00
Uruguay,Exports,2016-04-30T00:00:00,447463,Monthly,URUGUAYEXPXPORTS,2019-03-29T22:09:00
Uruguay,Exports,2016-05-31T00:00:00,685540,Monthly,URUGUAYEXPXPORTS,2019-03-29T22:09:00
Uruguay,Exports,2016-06-30T00:00:00,809800,Monthly,URUGUAYEXPXPORTS,2019-12-30T18:52:00
Uruguay,Exports,2016-07-31T00:00:00,691042,Monthly,URUGUAYEXPXPORTS,2019-03-29T22:09:00
Uruguay,Exports,2016-08-31T00:00:00,668498,Monthly,URUGUAYEXPXPORTS,2019-03-29T22:09:00
Uruguay,Exports,2016-09-30T00:00:00,601202,Monthly,URUGUAYEXPXPORTS,2019-03-29T22:09:00
Uruguay,Exports,2016-10-31T00:00:00,577907,Monthly,URUGUAYEXPXPORTS,2019-03-29T22:09:00
Uruguay,Exports,2016-11-30T00:00:00,554850,Monthly,URUGUAYEXPXPORTS,2019-03-29T22:09:00
Uruguay,Exports,2016-12-31T00:00:00,583271,Monthly,URUGUAYEXPXPORTS,2019-03-29T22:09:00
Uruguay,Exports,2017-01-31T00:00:00,491862,Monthly,URUGUAYEXPXPORTS,2018-08-01T09:37:00
Uruguay,Exports,2017-02-28T00:00:00,486915,Monthly,URUGUAYEXPXPORTS,2019-03-29T22:09:00
Uruguay,Exports,2017-03-31T00:00:00,519718,Monthly,URUGUAYEXPXPORTS,2019-12-30T18:52:00
Uruguay,Exports,2017-04-30T00:00:00,538764,Monthly,URUGUAYEXPXPORTS,2018-09-03T09:25:00
Uruguay,Exports,2017-05-31T00:00:00,825230,Monthly,URUGUAYEXPXPORTS,2019-03-29T22:09:00
Uruguay,Exports,2017-06-30T00:00:00,814154,Monthly,URUGUAYEXPXPORTS,2019-03-29T22:09:00
Uruguay,Exports,2017-07-31T00:00:00,755913,Monthly,URUGUAYEXPXPORTS,2019-03-29T22:09:00
Uruguay,Exports,2017-08-31T00:00:00,690115,Monthly,URUGUAYEXPXPORTS,2019-03-29T22:09:00
Uruguay,Exports,2017-09-30T00:00:00,768689,Monthly,URUGUAYEXPXPORTS,2019-03-29T22:09:00
Uruguay,Exports,2017-10-31T00:00:00,709148,Monthly,URUGUAYEXPXPORTS,2018-12-28T16:50:00
Uruguay,Exports,2017-11-30T00:00:00,660554,Monthly,URUGUAYEXPXPORTS,2019-10-01T10:45:00
Uruguay,Exports,2017-12-31T00:00:00,627427,Monthly,URUGUAYEXPXPORTS,2019-10-01T10:45:00
Uruguay,Exports,2018-01-31T00:00:00,554359,Monthly,URUGUAYEXPXPORTS,2019-03-29T22:09:00
Uruguay,Exports,2018-02-28T00:00:00,540394,Monthly,URUGUAYEXPXPORTS,2019-10-01T10:45:00
Uruguay,Exports,2018-03-31T00:00:00,631234,Monthly,URUGUAYEXPXPORTS,2019-06-03T16:17:00
Uruguay,Exports,2018-04-30T00:00:00,605372,Monthly,URUGUAYEXPXPORTS,2019-06-03T16:17:00
Uruguay,Exports,2018-05-31T00:00:00,663319,Monthly,URUGUAYEXPXPORTS,2019-06-03T16:17:00
Uruguay,Exports,2018-06-30T00:00:00,736058,Monthly,URUGUAYEXPXPORTS,2019-12-30T18:52:00
Uruguay,Exports,2018-07-31T00:00:00,576295,Monthly,URUGUAYEXPXPORTS,2020-02-03T11:01:00
Uruguay,Exports,2018-08-31T00:00:00,655801,Monthly,URUGUAYEXPXPORTS,2019-12-30T18:52:00
Uruguay,Exports,2018-09-30T00:00:00,647233,Monthly,URUGUAYEXPXPORTS,2019-10-31T17:08:00
Uruguay,Exports,2018-10-31T00:00:00,660403,Monthly,URUGUAYEXPXPORTS,2020-02-03T11:01:00
Uruguay,Exports,2018-11-30T00:00:00,660938,Monthly,URUGUAYEXPXPORTS,2019-12-30T18:52:00
Uruguay,Exports,2018-12-31T00:00:00,570768,Monthly,URUGUAYEXPXPORTS,2019-11-06T13:42:00
Uruguay,Exports,2019-01-31T00:00:00,539177,Monthly,URUGUAYEXPXPORTS,2021-03-04T07:56:00
Uruguay,Exports,2019-02-28T00:00:00,531193,Monthly,URUGUAYEXPXPORTS,2021-03-04T07:56:00
Uruguay,Exports,2019-03-31T00:00:00,567516,Monthly,URUGUAYEXPXPORTS,2020-04-02T13:21:00
Uruguay,Exports,2019-04-30T00:00:00,637914,Monthly,URUGUAYEXPXPORTS,2021-03-04T07:56:00
Uruguay,Exports,2019-05-31T00:00:00,749075,Monthly,URUGUAYEXPXPORTS,2021-03-04T07:56:00
Uruguay,Exports,2019-06-30T00:00:00,641015,Monthly,URUGUAYEXPXPORTS,2021-03-04T07:56:00
Uruguay,Exports,2019-07-31T00:00:00,674025,Monthly,URUGUAYEXPXPORTS,2021-04-30T21:24:00
Uruguay,Exports,2019-08-31T00:00:00,742735,Monthly,URUGUAYEXPXPORTS,2021-03-04T07:56:00
Uruguay,Exports,2019-09-30T00:00:00,677003,Monthly,URUGUAYEXPXPORTS,2020-12-14T11:33:00
Uruguay,Exports,2019-10-31T00:00:00,698069,Monthly,URUGUAYEXPXPORTS,2021-03-04T07:56:00
Uruguay,Exports,2019-11-30T00:00:00,616041,Monthly,URUGUAYEXPXPORTS,2021-03-04T07:56:00
Uruguay,Exports,2019-12-31T00:00:00,606583,Monthly,URUGUAYEXPXPORTS,2021-03-04T07:56:00
Uruguay,Exports,2020-01-31T00:00:00,478298,Monthly,URUGUAYEXPXPORTS,2021-04-30T21:24:00
Uruguay,Exports,2020-02-29T00:00:00,480535,Monthly,URUGUAYEXPXPORTS,2021-06-01T19:12:00
Uruguay,Exports,2020-03-31T00:00:00,465839,Monthly,URUGUAYEXPXPORTS,2021-06-01T19:12:00
Uruguay,Exports,2020-04-30T00:00:00,483129,Monthly,URUGUAYEXPXPORTS,2021-06-30T23:06:00
Uruguay,Exports,2020-05-31T00:00:00,594486,Monthly,URUGUAYEXPXPORTS,2021-06-30T23:06:00
