Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Uruguay,Fiscal Expenditure,2016-01-31T00:00:00,38463.481,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2016-02-29T00:00:00,37959.533,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2016-03-31T00:00:00,40082.086,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2016-04-30T00:00:00,39133.422,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2016-05-31T00:00:00,37567.831,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2016-06-30T00:00:00,46289.997,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2016-07-31T00:00:00,39513.418,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2016-08-31T00:00:00,39602.28,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2016-09-30T00:00:00,42886.44,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2016-10-31T00:00:00,40979.781,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2016-11-30T00:00:00,41707.325,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2016-12-31T00:00:00,53612.477,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2017-01-31T00:00:00,41009.368,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2017-02-28T00:00:00,41198.144,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2017-03-31T00:00:00,48932.184,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2017-04-30T00:00:00,37975.477,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2017-05-31T00:00:00,42134.767,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2017-06-30T00:00:00,51672.248,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2017-07-31T00:00:00,43425.437,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2017-08-31T00:00:00,42722.446,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2017-09-30T00:00:00,47167.011,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2017-10-31T00:00:00,44785.829,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2017-11-30T00:00:00,43526.131,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2017-12-31T00:00:00,58230.405,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2018-01-31T00:00:00,45755.702,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2018-02-28T00:00:00,45894.934,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2018-03-31T00:00:00,45621.035,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2018-04-30T00:00:00,47597.096,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2018-05-31T00:00:00,45645.605,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2018-06-30T00:00:00,56815.596,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2018-07-31T00:00:00,47543.191,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2018-08-31T00:00:00,47289.132,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2018-09-30T00:00:00,51167.277,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2018-10-31T00:00:00,50522.758,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2018-11-30T00:00:00,51953.622,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2018-12-31T00:00:00,62045.416,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2019-01-31T00:00:00,52295.247,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2019-02-28T00:00:00,50966.371,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2019-03-31T00:00:00,49805.132,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2019-04-30T00:00:00,51675.108,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2019-05-31T00:00:00,50954.43,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2019-06-30T00:00:00,61657.011,Monthly,URUGUAYFISEXP,2020-07-27T13:47:00
Uruguay,Fiscal Expenditure,2019-07-31T00:00:00,52834.136,Monthly,URUGUAYFISEXP,2020-07-27T13:46:00
Uruguay,Fiscal Expenditure,2019-08-31T00:00:00,50957.858,Monthly,URUGUAYFISEXP,2020-07-27T13:46:00
Uruguay,Fiscal Expenditure,2019-09-30T00:00:00,56307.676,Monthly,URUGUAYFISEXP,2020-07-27T13:46:00
Uruguay,Fiscal Expenditure,2019-10-31T00:00:00,49846.821,Monthly,URUGUAYFISEXP,2020-07-27T13:46:00
Uruguay,Fiscal Expenditure,2019-11-30T00:00:00,57414.359,Monthly,URUGUAYFISEXP,2020-07-27T13:46:00
Uruguay,Fiscal Expenditure,2019-12-31T00:00:00,68658.814,Monthly,URUGUAYFISEXP,2020-07-27T13:46:00
Uruguay,Fiscal Expenditure,2020-01-31T00:00:00,58053.248,Monthly,URUGUAYFISEXP,2021-03-04T13:48:00
Uruguay,Fiscal Expenditure,2020-02-29T00:00:00,79670.18,Monthly,URUGUAYFISEXP,2021-03-04T13:48:00
Uruguay,Fiscal Expenditure,2020-03-31T00:00:00,34097.822,Monthly,URUGUAYFISEXP,2021-03-04T13:48:00
Uruguay,Fiscal Expenditure,2020-04-30T00:00:00,52329.447,Monthly,URUGUAYFISEXP,2021-03-04T13:48:00
Uruguay,Fiscal Expenditure,2020-05-31T00:00:00,57059.551,Monthly,URUGUAYFISEXP,2021-03-04T13:48:00
Uruguay,Fiscal Expenditure,2020-06-30T00:00:00,71039.953,Monthly,URUGUAYFISEXP,2021-03-04T13:48:00
Uruguay,Fiscal Expenditure,2020-07-31T00:00:00,55989.289,Monthly,URUGUAYFISEXP,2021-03-04T13:48:00
Uruguay,Fiscal Expenditure,2020-08-31T00:00:00,54907.356,Monthly,URUGUAYFISEXP,2020-10-03T10:25:00
Uruguay,Fiscal Expenditure,2020-09-30T00:00:00,60528.599,Monthly,URUGUAYFISEXP,2020-11-07T10:14:00
Uruguay,Fiscal Expenditure,2020-10-31T00:00:00,58940.66,Monthly,URUGUAYFISEXP,2021-03-04T13:48:00
Uruguay,Fiscal Expenditure,2020-11-30T00:00:00,60713.404,Monthly,URUGUAYFISEXP,2021-03-04T13:48:00
Uruguay,Fiscal Expenditure,2020-12-31T00:00:00,79413.911,Monthly,URUGUAYFISEXP,2021-02-06T10:14:00
Uruguay,Fiscal Expenditure,2021-01-31T00:00:00,57879.934,Monthly,URUGUAYFISEXP,2021-03-04T13:48:00
Uruguay,Fiscal Expenditure,2021-02-28T00:00:00,60574.19,Monthly,URUGUAYFISEXP,2021-03-27T10:15:00
Uruguay,Fiscal Expenditure,2021-03-31T00:00:00,90234.124,Monthly,URUGUAYFISEXP,2021-05-08T10:17:00
Uruguay,Fiscal Expenditure,2021-04-30T00:00:00,34562.086,Monthly,URUGUAYFISEXP,2021-06-05T10:21:00
Uruguay,Fiscal Expenditure,2021-05-31T00:00:00,59629.357,Monthly,URUGUAYFISEXP,2021-07-03T10:20:00
Uruguay,Fiscal Expenditure,2021-06-30T00:00:00,75399.359,Monthly,URUGUAYFISEXP,2021-08-07T10:17:00
