Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Uruguay,GDP Annual Growth Rate,2016-03-31T00:00:00,0,Quarterly,URUGUAYGDPATE,2017-03-24T15:31:00
Uruguay,GDP Annual Growth Rate,2016-06-30T00:00:00,1.2,Quarterly,URUGUAYGDPATE,2018-12-18T16:34:00
Uruguay,GDP Annual Growth Rate,2016-09-30T00:00:00,1.9,Quarterly,URUGUAYGDPATE,2019-03-29T21:33:00
Uruguay,GDP Annual Growth Rate,2016-12-31T00:00:00,3.5,Quarterly,URUGUAYGDPATE,2018-12-18T16:34:00
Uruguay,GDP Annual Growth Rate,2017-03-31T00:00:00,4.2,Quarterly,URUGUAYGDPATE,2021-02-04T03:03:00
Uruguay,GDP Annual Growth Rate,2017-06-30T00:00:00,2.3,Quarterly,URUGUAYGDPATE,2021-02-04T03:03:00
Uruguay,GDP Annual Growth Rate,2017-09-30T00:00:00,1.3,Quarterly,URUGUAYGDPATE,2021-02-04T03:02:00
Uruguay,GDP Annual Growth Rate,2017-12-31T00:00:00,-1.1,Quarterly,URUGUAYGDPATE,2021-02-04T03:02:00
Uruguay,GDP Annual Growth Rate,2018-03-31T00:00:00,0.1,Quarterly,URUGUAYGDPATE,2021-02-04T03:02:00
Uruguay,GDP Annual Growth Rate,2018-06-30T00:00:00,-0.6,Quarterly,URUGUAYGDPATE,2021-02-04T03:02:00
Uruguay,GDP Annual Growth Rate,2018-09-30T00:00:00,0.6,Quarterly,URUGUAYGDPATE,2021-02-04T03:02:00
Uruguay,GDP Annual Growth Rate,2018-12-31T00:00:00,1.8,Quarterly,URUGUAYGDPATE,2021-02-04T03:02:00
Uruguay,GDP Annual Growth Rate,2019-03-31T00:00:00,-1.5,Quarterly,URUGUAYGDPATE,2021-12-30T15:23:00
Uruguay,GDP Annual Growth Rate,2019-06-30T00:00:00,2.2,Quarterly,URUGUAYGDPATE,2021-12-30T15:23:00
Uruguay,GDP Annual Growth Rate,2019-09-30T00:00:00,1.4,Quarterly,URUGUAYGDPATE,2021-12-30T15:23:00
Uruguay,GDP Annual Growth Rate,2019-12-31T00:00:00,-0.5,Quarterly,URUGUAYGDPATE,2021-03-25T06:28:00
Uruguay,GDP Annual Growth Rate,2020-03-31T00:00:00,-2.1,Quarterly,URUGUAYGDPATE,2022-03-24T10:40:00
Uruguay,GDP Annual Growth Rate,2020-06-30T00:00:00,-13.6,Quarterly,URUGUAYGDPATE,2022-03-24T10:39:00
Uruguay,GDP Annual Growth Rate,2020-09-30T00:00:00,-5.8,Quarterly,URUGUAYGDPATE,2021-03-25T05:14:00
Uruguay,GDP Annual Growth Rate,2020-12-31T00:00:00,-2.9,Quarterly,URUGUAYGDPATE,2021-03-25T05:11:00
Uruguay,GDP Annual Growth Rate,2021-03-31T00:00:00,-4.3,Quarterly,URUGUAYGDPATE,2022-03-24T10:39:00
Uruguay,GDP Annual Growth Rate,2021-06-30T00:00:00,10.2,Quarterly,URUGUAYGDPATE,2022-03-24T10:39:00
Uruguay,GDP Annual Growth Rate,2021-09-30T00:00:00,6.2,Quarterly,URUGUAYGDPATE,2022-03-24T10:39:00
Uruguay,GDP Annual Growth Rate,2021-12-31T00:00:00,5.9,Quarterly,URUGUAYGDPATE,2022-03-24T10:38:00
