Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Uruguay,Government Revenues,2016-01-31T00:00:00,26798.803,Monthly,URUGUAYGOVREV,2019-09-02T15:40:00
Uruguay,Government Revenues,2016-02-29T00:00:00,24951.424,Monthly,URUGUAYGOVREV,2019-09-02T15:40:00
Uruguay,Government Revenues,2016-03-31T00:00:00,26202.76,Monthly,URUGUAYGOVREV,2019-09-02T15:40:00
Uruguay,Government Revenues,2016-04-30T00:00:00,29228.581,Monthly,URUGUAYGOVREV,2019-09-02T15:40:00
Uruguay,Government Revenues,2016-05-31T00:00:00,25195.335,Monthly,URUGUAYGOVREV,2019-09-02T15:40:00
Uruguay,Government Revenues,2016-06-30T00:00:00,27815.928,Monthly,URUGUAYGOVREV,2019-09-02T15:40:00
Uruguay,Government Revenues,2016-07-31T00:00:00,24824.766,Monthly,URUGUAYGOVREV,2019-09-02T15:40:00
Uruguay,Government Revenues,2016-08-31T00:00:00,24619.807,Monthly,URUGUAYGOVREV,2019-09-02T15:40:00
Uruguay,Government Revenues,2016-09-30T00:00:00,27140.885,Monthly,URUGUAYGOVREV,2019-09-02T15:40:00
Uruguay,Government Revenues,2016-10-31T00:00:00,25808.28,Monthly,URUGUAYGOVREV,2017-01-08T20:14:00
Uruguay,Government Revenues,2016-11-30T00:00:00,27149.258,Monthly,URUGUAYGOVREV,2017-01-08T20:14:00
Uruguay,Government Revenues,2016-12-31T00:00:00,33408.405,Monthly,URUGUAYGOVREV,2019-09-02T15:40:00
Uruguay,Government Revenues,2017-01-31T00:00:00,29808.647,Monthly,URUGUAYGOVREV,2019-09-02T15:40:00
Uruguay,Government Revenues,2017-02-28T00:00:00,26560.52,Monthly,URUGUAYGOVREV,2019-09-02T15:40:00
Uruguay,Government Revenues,2017-03-31T00:00:00,31105.494,Monthly,URUGUAYGOVREV,2019-09-02T15:40:00
Uruguay,Government Revenues,2017-04-30T00:00:00,31522.171,Monthly,URUGUAYGOVREV,2019-09-02T15:40:00
Uruguay,Government Revenues,2017-05-31T00:00:00,33093.899,Monthly,URUGUAYGOVREV,2019-09-02T15:40:00
Uruguay,Government Revenues,2017-06-30T00:00:00,28488.277,Monthly,URUGUAYGOVREV,2019-09-02T15:40:00
Uruguay,Government Revenues,2017-07-31T00:00:00,26891.206,Monthly,URUGUAYGOVREV,2019-09-02T15:40:00
Uruguay,Government Revenues,2017-08-31T00:00:00,28897.003,Monthly,URUGUAYGOVREV,2017-10-07T10:25:00
Uruguay,Government Revenues,2017-09-30T00:00:00,28874.932,Monthly,URUGUAYGOVREV,2019-09-02T15:40:00
