Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Uruguay,Imports,2016-01-31T00:00:00,503610,Monthly,URUGUAYIMPMPORTS,2018-08-01T09:38:00
Uruguay,Imports,2016-02-29T00:00:00,542111,Monthly,URUGUAYIMPMPORTS,2018-08-01T09:38:00
Uruguay,Imports,2016-03-31T00:00:00,635267,Monthly,URUGUAYIMPMPORTS,2018-08-01T09:38:00
Uruguay,Imports,2016-04-30T00:00:00,780373,Monthly,URUGUAYIMPMPORTS,2018-08-01T09:38:00
Uruguay,Imports,2016-05-31T00:00:00,644012,Monthly,URUGUAYIMPMPORTS,2018-08-01T09:38:00
Uruguay,Imports,2016-06-30T00:00:00,602610,Monthly,URUGUAYIMPMPORTS,2018-06-01T10:45:00
Uruguay,Imports,2016-07-31T00:00:00,547794,Monthly,URUGUAYIMPMPORTS,2017-08-01T16:45:00
Uruguay,Imports,2016-08-31T00:00:00,711498,Monthly,URUGUAYIMPMPORTS,2017-08-01T16:45:00
Uruguay,Imports,2016-09-30T00:00:00,652650,Monthly,URUGUAYIMPMPORTS,2017-08-01T16:45:00
Uruguay,Imports,2016-10-31T00:00:00,622415,Monthly,URUGUAYIMPMPORTS,2017-08-01T16:45:00
Uruguay,Imports,2016-11-30T00:00:00,704668,Monthly,URUGUAYIMPMPORTS,2017-08-01T16:45:00
Uruguay,Imports,2016-12-31T00:00:00,698789,Monthly,URUGUAYIMPMPORTS,2017-01-31T20:46:00
Uruguay,Imports,2017-01-31T00:00:00,535377,Monthly,URUGUAYIMPMPORTS,2018-06-01T10:45:00
Uruguay,Imports,2017-02-28T00:00:00,519888,Monthly,URUGUAYIMPMPORTS,2018-06-01T10:45:00
Uruguay,Imports,2017-03-31T00:00:00,701263,Monthly,URUGUAYIMPMPORTS,2018-06-01T10:45:00
Uruguay,Imports,2017-04-30T00:00:00,593854,Monthly,URUGUAYIMPMPORTS,2018-06-01T10:45:00
Uruguay,Imports,2017-05-31T00:00:00,683338,Monthly,URUGUAYIMPMPORTS,2018-06-01T10:45:00
Uruguay,Imports,2017-06-30T00:00:00,615739,Monthly,URUGUAYIMPMPORTS,2018-06-01T10:45:00
Uruguay,Imports,2017-07-31T00:00:00,601355,Monthly,URUGUAYIMPMPORTS,2018-06-01T10:45:00
Uruguay,Imports,2017-08-31T00:00:00,715167,Monthly,URUGUAYIMPMPORTS,2018-06-01T10:45:00
Uruguay,Imports,2017-09-30T00:00:00,703287,Monthly,URUGUAYIMPMPORTS,2018-06-01T10:45:00
Uruguay,Imports,2017-10-31T00:00:00,725069,Monthly,URUGUAYIMPMPORTS,2018-06-01T10:45:00
Uruguay,Imports,2017-11-30T00:00:00,701080,Monthly,URUGUAYIMPMPORTS,2018-06-01T10:45:00
Uruguay,Imports,2017-12-31T00:00:00,815099,Monthly,URUGUAYIMPMPORTS,2018-02-03T10:58:00
Uruguay,Imports,2018-01-31T00:00:00,588154,Monthly,URUGUAYIMPMPORTS,2019-02-28T16:22:00
Uruguay,Imports,2018-02-28T00:00:00,624856,Monthly,URUGUAYIMPMPORTS,2019-02-04T11:40:00
Uruguay,Imports,2018-03-31T00:00:00,667077,Monthly,URUGUAYIMPMPORTS,2019-02-04T11:40:00
Uruguay,Imports,2018-04-30T00:00:00,716847,Monthly,URUGUAYIMPMPORTS,2019-02-04T11:40:00
Uruguay,Imports,2018-05-31T00:00:00,807132,Monthly,URUGUAYIMPMPORTS,2019-02-04T11:40:00
Uruguay,Imports,2018-06-30T00:00:00,624755,Monthly,URUGUAYIMPMPORTS,2019-02-04T11:40:00
Uruguay,Imports,2018-07-31T00:00:00,716920,Monthly,URUGUAYIMPMPORTS,2019-02-04T11:40:00
Uruguay,Imports,2018-08-31T00:00:00,758950,Monthly,URUGUAYIMPMPORTS,2019-02-04T11:40:00
Uruguay,Imports,2018-09-30T00:00:00,717797,Monthly,URUGUAYIMPMPORTS,2019-02-04T11:40:00
Uruguay,Imports,2018-10-31T00:00:00,824791,Monthly,URUGUAYIMPMPORTS,2019-02-04T11:40:00
Uruguay,Imports,2018-11-30T00:00:00,598155,Monthly,URUGUAYIMPMPORTS,2019-02-04T11:40:00
Uruguay,Imports,2018-12-31T00:00:00,659384,Monthly,URUGUAYIMPMPORTS,2019-02-01T20:13:00
Uruguay,Imports,2019-01-31T00:00:00,600039,Monthly,URUGUAYIMPMPORTS,2020-02-03T11:01:00
Uruguay,Imports,2019-02-28T00:00:00,558434,Monthly,URUGUAYIMPMPORTS,2020-02-03T11:01:00
Uruguay,Imports,2019-03-31T00:00:00,564142,Monthly,URUGUAYIMPMPORTS,2020-02-03T11:01:00
Uruguay,Imports,2019-04-30T00:00:00,668127,Monthly,URUGUAYIMPMPORTS,2020-02-03T11:01:00
Uruguay,Imports,2019-05-31T00:00:00,676287,Monthly,URUGUAYIMPMPORTS,2020-02-03T11:01:00
Uruguay,Imports,2019-06-30T00:00:00,579065,Monthly,URUGUAYIMPMPORTS,2020-02-03T11:01:00
Uruguay,Imports,2019-07-31T00:00:00,658601,Monthly,URUGUAYIMPMPORTS,2020-02-03T11:01:00
Uruguay,Imports,2019-08-31T00:00:00,708731,Monthly,URUGUAYIMPMPORTS,2020-02-03T11:01:00
Uruguay,Imports,2019-09-30T00:00:00,702742,Monthly,URUGUAYIMPMPORTS,2020-02-03T11:01:00
Uruguay,Imports,2019-10-31T00:00:00,756278,Monthly,URUGUAYIMPMPORTS,2020-02-03T11:01:00
Uruguay,Imports,2019-11-30T00:00:00,624365,Monthly,URUGUAYIMPMPORTS,2020-02-03T11:01:00
Uruguay,Imports,2019-12-31T00:00:00,641121,Monthly,URUGUAYIMPMPORTS,2020-01-31T22:05:00
Uruguay,Imports,2020-01-31T00:00:00,636667,Monthly,URUGUAYIMPMPORTS,2021-03-04T07:56:00
Uruguay,Imports,2020-02-29T00:00:00,507200,Monthly,URUGUAYIMPMPORTS,2021-03-04T07:56:00
Uruguay,Imports,2020-03-31T00:00:00,621345,Monthly,URUGUAYIMPMPORTS,2021-03-04T07:56:00
Uruguay,Imports,2020-04-30T00:00:00,520311,Monthly,URUGUAYIMPMPORTS,2021-03-04T07:56:00
Uruguay,Imports,2020-05-31T00:00:00,503346,Monthly,URUGUAYIMPMPORTS,2021-03-04T07:56:00
Uruguay,Imports,2020-06-30T00:00:00,520490,Monthly,URUGUAYIMPMPORTS,2021-03-04T07:56:00
Uruguay,Imports,2020-07-31T00:00:00,601378,Monthly,URUGUAYIMPMPORTS,2021-03-04T07:56:00
Uruguay,Imports,2020-08-31T00:00:00,545887,Monthly,URUGUAYIMPMPORTS,2021-03-04T07:56:00
Uruguay,Imports,2020-09-30T00:00:00,615664,Monthly,URUGUAYIMPMPORTS,2021-03-04T07:56:00
Uruguay,Imports,2020-10-31T00:00:00,620746,Monthly,URUGUAYIMPMPORTS,2021-03-04T07:56:00
Uruguay,Imports,2020-11-30T00:00:00,640843,Monthly,URUGUAYIMPMPORTS,2021-03-04T07:56:00
Uruguay,Imports,2020-12-31T00:00:00,725029,Monthly,URUGUAYIMPMPORTS,2021-03-04T07:56:00
Uruguay,Imports,2021-01-31T00:00:00,590478,Monthly,URUGUAYIMPMPORTS,2021-07-30T20:44:00
Uruguay,Imports,2021-02-28T00:00:00,569838,Monthly,URUGUAYIMPMPORTS,2021-07-30T20:44:00
Uruguay,Imports,2021-03-31T00:00:00,764809,Monthly,URUGUAYIMPMPORTS,2021-07-30T20:44:00
Uruguay,Imports,2021-04-30T00:00:00,676212,Monthly,URUGUAYIMPMPORTS,2021-07-30T20:44:00
