Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Uruguay,Inflation Rate,2016-01-31T00:00:00,9.68,Monthly,URUGUAYINFNRATE,2016-02-03T17:43:00
Uruguay,Inflation Rate,2016-02-29T00:00:00,10.23,Monthly,URUGUAYINFNRATE,2016-03-03T17:17:00
Uruguay,Inflation Rate,2016-03-31T00:00:00,10.6,Monthly,URUGUAYINFNRATE,2016-04-05T18:22:00
Uruguay,Inflation Rate,2016-04-30T00:00:00,10.5,Monthly,URUGUAYINFNRATE,2016-05-04T18:16:00
Uruguay,Inflation Rate,2016-05-31T00:00:00,11,Monthly,URUGUAYINFNRATE,2016-06-03T18:33:00
Uruguay,Inflation Rate,2016-06-30T00:00:00,10.94,Monthly,URUGUAYINFNRATE,2016-07-05T18:13:00
Uruguay,Inflation Rate,2016-07-31T00:00:00,10.05,Monthly,URUGUAYINFNRATE,2016-08-03T19:14:00
Uruguay,Inflation Rate,2016-08-31T00:00:00,9.38,Monthly,URUGUAYINFNRATE,2017-01-04T17:23:00
Uruguay,Inflation Rate,2016-09-30T00:00:00,8.9,Monthly,URUGUAYINFNRATE,2016-10-05T17:22:00
Uruguay,Inflation Rate,2016-10-31T00:00:00,8.45,Monthly,URUGUAYINFNRATE,2016-11-04T17:30:00
Uruguay,Inflation Rate,2016-11-30T00:00:00,8.1,Monthly,URUGUAYINFNRATE,2016-12-05T20:57:00
Uruguay,Inflation Rate,2016-12-31T00:00:00,8.1,Monthly,URUGUAYINFNRATE,2017-01-04T17:36:00
Uruguay,Inflation Rate,2017-01-31T00:00:00,8.3,Monthly,URUGUAYINFNRATE,2017-02-03T17:46:00
Uruguay,Inflation Rate,2017-02-28T00:00:00,7.1,Monthly,URUGUAYINFNRATE,2017-03-03T17:11:00
Uruguay,Inflation Rate,2017-03-31T00:00:00,6.71,Monthly,URUGUAYINFNRATE,2017-04-05T17:20:00
Uruguay,Inflation Rate,2017-04-30T00:00:00,6.46,Monthly,URUGUAYINFNRATE,2017-05-04T17:10:00
Uruguay,Inflation Rate,2017-05-31T00:00:00,5.58,Monthly,URUGUAYINFNRATE,2017-06-05T17:12:00
Uruguay,Inflation Rate,2017-06-30T00:00:00,5.31,Monthly,URUGUAYINFNRATE,2017-07-05T17:10:00
Uruguay,Inflation Rate,2017-07-31T00:00:00,5.24,Monthly,URUGUAYINFNRATE,2017-08-03T17:25:00
Uruguay,Inflation Rate,2017-08-31T00:00:00,5.45,Monthly,URUGUAYINFNRATE,2017-09-05T17:10:00
Uruguay,Inflation Rate,2017-09-30T00:00:00,5.75,Monthly,URUGUAYINFNRATE,2017-10-04T17:11:00
Uruguay,Inflation Rate,2017-10-31T00:00:00,6.04,Monthly,URUGUAYINFNRATE,2017-11-03T17:14:00
Uruguay,Inflation Rate,2017-11-30T00:00:00,6.3,Monthly,URUGUAYINFNRATE,2017-12-05T17:20:00
Uruguay,Inflation Rate,2017-12-31T00:00:00,6.55,Monthly,URUGUAYINFNRATE,2018-01-04T17:11:00
Uruguay,Inflation Rate,2018-01-31T00:00:00,6.67,Monthly,URUGUAYINFNRATE,2018-02-05T17:16:00
Uruguay,Inflation Rate,2018-02-28T00:00:00,7.07,Monthly,URUGUAYINFNRATE,2018-03-05T17:17:00
Uruguay,Inflation Rate,2018-03-31T00:00:00,6.65,Monthly,URUGUAYINFNRATE,2018-04-04T17:10:00
Uruguay,Inflation Rate,2018-04-30T00:00:00,6.49,Monthly,URUGUAYINFNRATE,2018-05-04T19:49:00
Uruguay,Inflation Rate,2018-05-31T00:00:00,7.21,Monthly,URUGUAYINFNRATE,2018-06-05T22:26:00
Uruguay,Inflation Rate,2018-06-30T00:00:00,8.11,Monthly,URUGUAYINFNRATE,2018-07-04T17:25:00
Uruguay,Inflation Rate,2018-07-31T00:00:00,8.41,Monthly,URUGUAYINFNRATE,2018-08-03T17:29:00
Uruguay,Inflation Rate,2018-08-31T00:00:00,8.31,Monthly,URUGUAYINFNRATE,2018-09-05T17:13:00
Uruguay,Inflation Rate,2018-09-30T00:00:00,8.26,Monthly,URUGUAYINFNRATE,2018-10-03T17:12:00
Uruguay,Inflation Rate,2018-10-31T00:00:00,8.01,Monthly,URUGUAYINFNRATE,2018-11-05T17:16:00
Uruguay,Inflation Rate,2018-11-30T00:00:00,8.05,Monthly,URUGUAYINFNRATE,2018-12-05T17:30:00
Uruguay,Inflation Rate,2018-12-31T00:00:00,7.96,Monthly,URUGUAYINFNRATE,2019-01-04T17:36:00
Uruguay,Inflation Rate,2019-01-31T00:00:00,7.39,Monthly,URUGUAYINFNRATE,2019-02-06T16:14:00
Uruguay,Inflation Rate,2019-02-28T00:00:00,7.49,Monthly,URUGUAYINFNRATE,2019-03-01T17:17:00
Uruguay,Inflation Rate,2019-03-31T00:00:00,7.78,Monthly,URUGUAYINFNRATE,2019-04-03T17:18:00
Uruguay,Inflation Rate,2019-04-30T00:00:00,8.17,Monthly,URUGUAYINFNRATE,2019-05-03T17:19:00
Uruguay,Inflation Rate,2019-05-31T00:00:00,7.73,Monthly,URUGUAYINFNRATE,2019-06-05T17:16:00
Uruguay,Inflation Rate,2019-06-30T00:00:00,7.36,Monthly,URUGUAYINFNRATE,2019-07-03T17:20:00
Uruguay,Inflation Rate,2019-07-31T00:00:00,7.54,Monthly,URUGUAYINFNRATE,2019-08-05T19:06:00
Uruguay,Inflation Rate,2019-08-31T00:00:00,7.76,Monthly,URUGUAYINFNRATE,2019-09-04T17:08:00
Uruguay,Inflation Rate,2019-09-30T00:00:00,7.78,Monthly,URUGUAYINFNRATE,2019-10-03T19:12:00
Uruguay,Inflation Rate,2019-10-31T00:00:00,8.34,Monthly,URUGUAYINFNRATE,2019-11-05T18:30:00
Uruguay,Inflation Rate,2019-11-30T00:00:00,8.4,Monthly,URUGUAYINFNRATE,2019-12-04T17:12:00
Uruguay,Inflation Rate,2019-12-31T00:00:00,8.79,Monthly,URUGUAYINFNRATE,2020-01-03T17:45:00
Uruguay,Inflation Rate,2020-01-31T00:00:00,8.71,Monthly,URUGUAYINFNRATE,2020-02-05T20:44:00
Uruguay,Inflation Rate,2020-02-29T00:00:00,8.32,Monthly,URUGUAYINFNRATE,2020-03-04T17:33:00
Uruguay,Inflation Rate,2020-03-31T00:00:00,9.16,Monthly,URUGUAYINFNRATE,2020-04-03T17:42:00
Uruguay,Inflation Rate,2020-04-30T00:00:00,10.86,Monthly,URUGUAYINFNRATE,2020-05-05T17:30:00
Uruguay,Inflation Rate,2020-05-31T00:00:00,11.05,Monthly,URUGUAYINFNRATE,2020-06-03T17:34:00
Uruguay,Inflation Rate,2020-06-30T00:00:00,10.36,Monthly,URUGUAYINFNRATE,2020-07-03T17:32:00
Uruguay,Inflation Rate,2020-07-31T00:00:00,10.13,Monthly,URUGUAYINFNRATE,2020-08-05T17:34:00
Uruguay,Inflation Rate,2020-08-31T00:00:00,9.79,Monthly,URUGUAYINFNRATE,2020-09-03T17:31:00
