Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Uruguay,Money Supply M2,2016-01-31T00:00:00,218635,Monthly,URUGUAYMONSUPM2,2016-02-25T20:09:00
Uruguay,Money Supply M2,2016-02-29T00:00:00,216946,Monthly,URUGUAYMONSUPM2,2016-04-05T17:09:00
Uruguay,Money Supply M2,2016-03-31T00:00:00,216027,Monthly,URUGUAYMONSUPM2,2016-04-23T10:29:00
Uruguay,Money Supply M2,2016-04-30T00:00:00,222277,Monthly,URUGUAYMONSUPM2,2016-05-28T21:28:00
Uruguay,Money Supply M2,2016-05-31T00:00:00,219577,Monthly,URUGUAYMONSUPM2,2016-06-25T10:28:00
Uruguay,Money Supply M2,2016-06-30T00:00:00,229026,Monthly,URUGUAYMONSUPM2,2016-07-23T10:26:00
Uruguay,Money Supply M2,2016-07-31T00:00:00,228761,Monthly,URUGUAYMONSUPM2,2016-08-20T10:48:00
Uruguay,Money Supply M2,2016-08-31T00:00:00,227740,Monthly,URUGUAYMONSUPM2,2016-09-24T10:46:00
Uruguay,Money Supply M2,2016-09-30T00:00:00,227341,Monthly,URUGUAYMONSUPM2,2016-10-27T17:40:00
Uruguay,Money Supply M2,2016-10-31T00:00:00,230036,Monthly,URUGUAYMONSUPM2,2016-11-23T10:35:00
Uruguay,Money Supply M2,2016-11-30T00:00:00,236084,Monthly,URUGUAYMONSUPM2,2017-01-08T20:01:00
Uruguay,Money Supply M2,2016-12-31T00:00:00,253604,Monthly,URUGUAYMONSUPM2,2017-01-28T10:09:00
Uruguay,Money Supply M2,2017-01-31T00:00:00,247955,Monthly,URUGUAYMONSUPM2,2017-02-25T10:06:00
Uruguay,Money Supply M2,2017-02-28T00:00:00,255137,Monthly,URUGUAYMONSUPM2,2017-03-25T10:09:00
Uruguay,Money Supply M2,2017-03-31T00:00:00,255937,Monthly,URUGUAYMONSUPM2,2017-04-29T10:08:00
Uruguay,Money Supply M2,2017-04-30T00:00:00,249625,Monthly,URUGUAYMONSUPM2,2017-05-26T15:10:00
Uruguay,Money Supply M2,2017-05-31T00:00:00,250331,Monthly,URUGUAYMONSUPM2,2017-06-24T10:09:00
Uruguay,Money Supply M2,2017-06-30T00:00:00,261658,Monthly,URUGUAYMONSUPM2,2017-08-19T10:07:00
Uruguay,Money Supply M2,2017-07-31T00:00:00,262496,Monthly,URUGUAYMONSUPM2,2017-08-26T10:09:00
Uruguay,Money Supply M2,2017-08-31T00:00:00,263720,Monthly,URUGUAYMONSUPM2,2017-09-30T10:09:00
Uruguay,Money Supply M2,2017-09-30T00:00:00,270796,Monthly,URUGUAYMONSUPM2,2017-10-28T10:08:00
Uruguay,Money Supply M2,2017-10-31T00:00:00,272450,Monthly,URUGUAYMONSUPM2,2017-11-25T10:10:00
Uruguay,Money Supply M2,2017-11-30T00:00:00,273594,Monthly,URUGUAYMONSUPM2,2017-12-30T10:08:00
Uruguay,Money Supply M2,2017-12-31T00:00:00,286844,Monthly,URUGUAYMONSUPM2,2018-01-27T10:08:00
Uruguay,Money Supply M2,2018-01-31T00:00:00,278656,Monthly,URUGUAYMONSUPM2,2018-02-24T10:12:00
Uruguay,Money Supply M2,2018-02-28T00:00:00,282796,Monthly,URUGUAYMONSUPM2,2018-03-24T10:09:00
Uruguay,Money Supply M2,2018-03-31T00:00:00,282510,Monthly,URUGUAYMONSUPM2,2018-04-21T10:10:00
Uruguay,Money Supply M2,2018-04-30T00:00:00,281905,Monthly,URUGUAYMONSUPM2,2018-05-26T10:10:00
Uruguay,Money Supply M2,2018-05-31T00:00:00,285525,Monthly,URUGUAYMONSUPM2,2018-06-23T10:10:00
Uruguay,Money Supply M2,2018-06-30T00:00:00,294750,Monthly,URUGUAYMONSUPM2,2018-07-28T10:10:00
Uruguay,Money Supply M2,2018-07-31T00:00:00,291573,Monthly,URUGUAYMONSUPM2,2018-08-25T10:08:00
Uruguay,Money Supply M2,2018-08-31T00:00:00,292614,Monthly,URUGUAYMONSUPM2,2018-09-29T10:10:00
Uruguay,Money Supply M2,2018-09-30T00:00:00,294024,Monthly,URUGUAYMONSUPM2,2018-11-03T10:09:00
Uruguay,Money Supply M2,2018-10-31T00:00:00,293489,Monthly,URUGUAYMONSUPM2,2018-12-01T10:10:00
