Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Uruguay,Unemployment Rate,2016-01-31T00:00:00,7.7,Monthly,URUGUAYUNETRATE,2016-03-11T17:37:00
Uruguay,Unemployment Rate,2016-02-29T00:00:00,8,Monthly,URUGUAYUNETRATE,2016-04-13T18:22:00
Uruguay,Unemployment Rate,2016-03-31T00:00:00,8,Monthly,URUGUAYUNETRATE,2016-05-12T20:07:00
Uruguay,Unemployment Rate,2016-04-30T00:00:00,8.1,Monthly,URUGUAYUNETRATE,2016-06-09T21:35:00
Uruguay,Unemployment Rate,2016-05-31T00:00:00,7.9,Monthly,URUGUAYUNETRATE,2016-07-06T19:32:00
Uruguay,Unemployment Rate,2016-06-30T00:00:00,7.5,Monthly,URUGUAYUNETRATE,2016-08-09T19:35:00
Uruguay,Unemployment Rate,2016-07-31T00:00:00,8.6,Monthly,URUGUAYUNETRATE,2016-09-06T18:16:00
Uruguay,Unemployment Rate,2016-08-31T00:00:00,7.7,Monthly,URUGUAYUNETRATE,2016-10-05T17:23:00
Uruguay,Unemployment Rate,2016-09-30T00:00:00,8.4,Monthly,URUGUAYUNETRATE,2016-11-03T20:00:00
Uruguay,Unemployment Rate,2016-10-31T00:00:00,7.1,Monthly,URUGUAYUNETRATE,2016-12-06T18:27:00
Uruguay,Unemployment Rate,2016-11-30T00:00:00,7.7,Monthly,URUGUAYUNETRATE,2017-01-11T13:56:00
Uruguay,Unemployment Rate,2016-12-31T00:00:00,7.7,Monthly,URUGUAYUNETRATE,2017-02-08T17:16:00
Uruguay,Unemployment Rate,2017-01-31T00:00:00,8.12,Monthly,URUGUAYUNETRATE,2017-06-22T18:54:00
Uruguay,Unemployment Rate,2017-02-28T00:00:00,8.21,Monthly,URUGUAYUNETRATE,2017-06-22T18:54:00
Uruguay,Unemployment Rate,2017-03-31T00:00:00,9.02,Monthly,URUGUAYUNETRATE,2017-06-22T18:54:00
Uruguay,Unemployment Rate,2017-04-30T00:00:00,8.46,Monthly,URUGUAYUNETRATE,2017-06-22T18:53:00
Uruguay,Unemployment Rate,2017-05-31T00:00:00,7.95,Monthly,URUGUAYUNETRATE,2017-07-25T18:27:00
Uruguay,Unemployment Rate,2017-06-30T00:00:00,7.84,Monthly,URUGUAYUNETRATE,2017-08-24T22:00:00
Uruguay,Unemployment Rate,2017-07-31T00:00:00,7.58,Monthly,URUGUAYUNETRATE,2017-10-19T18:04:00
Uruguay,Unemployment Rate,2017-08-31T00:00:00,7.82,Monthly,URUGUAYUNETRATE,2017-10-19T20:01:00
Uruguay,Unemployment Rate,2017-09-30T00:00:00,7.58,Monthly,URUGUAYUNETRATE,2017-11-20T19:04:00
Uruguay,Unemployment Rate,2017-10-31T00:00:00,7.71,Monthly,URUGUAYUNETRATE,2017-12-18T19:49:00
Uruguay,Unemployment Rate,2017-11-30T00:00:00,7.76,Monthly,URUGUAYUNETRATE,2018-01-17T20:05:00
Uruguay,Unemployment Rate,2017-12-31T00:00:00,6.92,Monthly,URUGUAYUNETRATE,2018-09-07T17:32:00
Uruguay,Unemployment Rate,2018-01-31T00:00:00,8.48,Monthly,URUGUAYUNETRATE,2018-03-09T19:20:00
Uruguay,Unemployment Rate,2018-02-28T00:00:00,9.31,Monthly,URUGUAYUNETRATE,2018-04-10T20:19:00
Uruguay,Unemployment Rate,2018-03-31T00:00:00,8.78,Monthly,URUGUAYUNETRATE,2018-09-07T17:32:00
Uruguay,Unemployment Rate,2018-04-30T00:00:00,8.19,Monthly,URUGUAYUNETRATE,2018-06-07T19:03:00
Uruguay,Unemployment Rate,2018-05-31T00:00:00,8.12,Monthly,URUGUAYUNETRATE,2018-07-06T18:51:00
Uruguay,Unemployment Rate,2018-06-30T00:00:00,7.93,Monthly,URUGUAYUNETRATE,2018-08-24T22:02:00
Uruguay,Unemployment Rate,2018-07-31T00:00:00,7.77,Monthly,URUGUAYUNETRATE,2018-09-07T17:31:00
Uruguay,Unemployment Rate,2018-08-31T00:00:00,9,Monthly,URUGUAYUNETRATE,2018-10-05T17:34:00
Uruguay,Unemployment Rate,2018-09-30T00:00:00,8.7,Monthly,URUGUAYUNETRATE,2018-11-08T17:33:00
Uruguay,Unemployment Rate,2018-10-31T00:00:00,8.6,Monthly,URUGUAYUNETRATE,2018-12-07T21:05:00
Uruguay,Unemployment Rate,2018-11-30T00:00:00,7.4,Monthly,URUGUAYUNETRATE,2019-01-08T17:39:00
Uruguay,Unemployment Rate,2018-12-31T00:00:00,8.42,Monthly,URUGUAYUNETRATE,2019-02-07T20:04:00
Uruguay,Unemployment Rate,2019-01-31T00:00:00,8.41,Monthly,URUGUAYUNETRATE,2019-03-18T10:18:00
Uruguay,Unemployment Rate,2019-02-28T00:00:00,8.4,Monthly,URUGUAYUNETRATE,2019-04-12T18:35:00
Uruguay,Unemployment Rate,2019-03-31T00:00:00,9.5,Monthly,URUGUAYUNETRATE,2019-05-16T21:57:00
Uruguay,Unemployment Rate,2019-04-30T00:00:00,8,Monthly,URUGUAYUNETRATE,2019-06-11T17:18:00
Uruguay,Unemployment Rate,2019-05-31T00:00:00,8.7,Monthly,URUGUAYUNETRATE,2019-07-08T17:13:00
Uruguay,Unemployment Rate,2019-06-30T00:00:00,9.8,Monthly,URUGUAYUNETRATE,2019-08-07T17:38:00
Uruguay,Unemployment Rate,2019-07-31T00:00:00,9.1,Monthly,URUGUAYUNETRATE,2019-09-06T17:23:00
Uruguay,Unemployment Rate,2019-08-31T00:00:00,9.1,Monthly,URUGUAYUNETRATE,2019-10-07T18:55:00
Uruguay,Unemployment Rate,2019-09-30T00:00:00,9.5,Monthly,URUGUAYUNETRATE,2019-11-07T17:21:00
Uruguay,Unemployment Rate,2019-10-31T00:00:00,8.8,Monthly,URUGUAYUNETRATE,2019-12-06T17:28:00
Uruguay,Unemployment Rate,2019-11-30T00:00:00,9.2,Monthly,URUGUAYUNETRATE,2020-01-09T17:31:00
Uruguay,Unemployment Rate,2019-12-31T00:00:00,8.5,Monthly,URUGUAYUNETRATE,2020-02-07T17:30:00
Uruguay,Unemployment Rate,2020-01-31T00:00:00,8.5,Monthly,URUGUAYUNETRATE,2020-03-11T17:33:00
Uruguay,Unemployment Rate,2020-02-29T00:00:00,10.5,Monthly,URUGUAYUNETRATE,2020-04-16T17:17:00
Uruguay,Unemployment Rate,2020-03-31T00:00:00,10.1,Monthly,URUGUAYUNETRATE,2020-06-05T21:05:00
Uruguay,Unemployment Rate,2020-04-30T00:00:00,9.7,Monthly,URUGUAYUNETRATE,2020-06-30T15:31:00
Uruguay,Unemployment Rate,2020-05-31T00:00:00,9.7,Monthly,URUGUAYUNETRATE,2020-07-27T17:34:00
Uruguay,Unemployment Rate,2020-06-30T00:00:00,10.7,Monthly,URUGUAYUNETRATE,2020-08-21T17:25:00
Uruguay,Unemployment Rate,2020-07-31T00:00:00,10.6,Monthly,URUGUAYUNETRATE,2020-09-18T17:32:00
Uruguay,Unemployment Rate,2020-08-31T00:00:00,10.8,Monthly,URUGUAYUNETRATE,2020-10-16T17:28:00
Uruguay,Unemployment Rate,2020-09-30T00:00:00,11,Monthly,URUGUAYUNETRATE,2020-11-12T17:28:00
Uruguay,Unemployment Rate,2020-10-31T00:00:00,11.2,Monthly,URUGUAYUNETRATE,2020-12-15T17:30:00
Uruguay,Unemployment Rate,2020-11-30T00:00:00,10.9,Monthly,URUGUAYUNETRATE,2021-01-15T17:31:00
Uruguay,Unemployment Rate,2020-12-31T00:00:00,10.5,Monthly,URUGUAYUNETRATE,2021-02-17T17:23:00
Uruguay,Unemployment Rate,2021-01-31T00:00:00,10.7,Monthly,URUGUAYUNETRATE,2021-03-16T17:15:00
Uruguay,Unemployment Rate,2021-02-28T00:00:00,11.1,Monthly,URUGUAYUNETRATE,2021-04-16T17:15:00
Uruguay,Unemployment Rate,2021-03-31T00:00:00,9.7,Monthly,URUGUAYUNETRATE,2021-05-20T15:41:00
Uruguay,Unemployment Rate,2021-04-30T00:00:00,9.7,Monthly,URUGUAYUNETRATE,2021-08-20T16:03:00
Uruguay,Unemployment Rate,2021-05-31T00:00:00,10.2,Monthly,URUGUAYUNETRATE,2021-07-27T17:39:00
Uruguay,Unemployment Rate,2021-06-30T00:00:00,9.4,Monthly,URUGUAYUNETRATE,2021-08-20T16:33:00
Uruguay,Unemployment Rate,2021-07-31T00:00:00,10.4,Monthly,URUGUAYUNETRATE,2021-09-17T18:29:00
