Country,Category,DateTime,Value,Treatment_Subject, AfterIntervention,Treatm*AftIntv
Uruguay,Inflation Rate,2016-01-31T00:00:00,9.68,1,0,0
Uruguay,Inflation Rate,2016-02-29T00:00:00,10.23,1,0,0
Uruguay,Inflation Rate,2016-03-31T00:00:00,10.6,1,0,0
Uruguay,Inflation Rate,2016-04-30T00:00:00,10.5,1,0,0
Uruguay,Inflation Rate,2016-05-31T00:00:00,11,1,0,0
Uruguay,Inflation Rate,2016-06-30T00:00:00,10.94,1,0,0
Uruguay,Inflation Rate,2016-07-31T00:00:00,10.05,1,0,0
Uruguay,Inflation Rate,2016-08-31T00:00:00,9.38,1,0,0
Uruguay,Inflation Rate,2016-09-30T00:00:00,8.9,1,0,0
Uruguay,Inflation Rate,2016-10-31T00:00:00,8.45,1,0,0
Uruguay,Inflation Rate,2016-11-30T00:00:00,8.1,1,0,0
Uruguay,Inflation Rate,2016-12-31T00:00:00,8.1,1,0,0
Uruguay,Inflation Rate,2017-01-31T00:00:00,8.3,1,0,0
Uruguay,Inflation Rate,2017-02-28T00:00:00,7.1,1,0,0
Uruguay,Inflation Rate,2017-03-31T00:00:00,6.71,1,0,0
Uruguay,Inflation Rate,2017-04-30T00:00:00,6.46,1,0,0
Uruguay,Inflation Rate,2017-05-31T00:00:00,5.58,1,0,0
Uruguay,Inflation Rate,2017-06-30T00:00:00,5.31,1,0,0
Uruguay,Inflation Rate,2017-07-31T00:00:00,5.24,1,0,0
Uruguay,Inflation Rate,2017-08-31T00:00:00,5.45,1,0,0
Uruguay,Inflation Rate,2017-09-30T00:00:00,5.75,1,0,0
Uruguay,Inflation Rate,2017-10-31T00:00:00,6.04,1,0,0
Uruguay,Inflation Rate,2017-11-30T00:00:00,6.3,1,0,0
Uruguay,Inflation Rate,2017-12-31T00:00:00,6.55,1,0,0
Uruguay,Inflation Rate,2018-01-31T00:00:00,6.67,1,0,0
Uruguay,Inflation Rate,2018-02-28T00:00:00,7.07,1,0,0
Uruguay,Inflation Rate,2018-03-31T00:00:00,6.65,1,0,0
Uruguay,Inflation Rate,2018-04-30T00:00:00,6.49,1,0,0
Uruguay,Inflation Rate,2018-05-31T00:00:00,7.21,1,0,0
Uruguay,Inflation Rate,2018-06-30T00:00:00,8.11,1,0,0
Uruguay,Inflation Rate,2018-07-31T00:00:00,8.41,1,0,0
Uruguay,Inflation Rate,2018-08-31T00:00:00,8.31,1,0,0
Uruguay,Inflation Rate,2018-09-30T00:00:00,8.26,1,0,0
Uruguay,Inflation Rate,2018-10-31T00:00:00,8.01,1,0,0
Uruguay,Inflation Rate,2018-11-30T00:00:00,8.05,1,0,0
Uruguay,Inflation Rate,2018-12-31T00:00:00,7.96,1,0,0
Uruguay,Inflation Rate,2019-01-31T00:00:00,7.39,1,0,0
Uruguay,Inflation Rate,2019-02-28T00:00:00,7.49,1,0,0
Uruguay,Inflation Rate,2019-03-31T00:00:00,7.78,1,0,0
Uruguay,Inflation Rate,2019-04-30T00:00:00,8.17,1,0,0
Uruguay,Inflation Rate,2019-05-31T00:00:00,7.73,1,0,0
Uruguay,Inflation Rate,2019-06-30T00:00:00,7.36,1,0,0
Uruguay,Inflation Rate,2019-07-31T00:00:00,7.54,1,0,0
Uruguay,Inflation Rate,2019-08-31T00:00:00,7.76,1,0,0
Uruguay,Inflation Rate,2019-09-30T00:00:00,7.78,1,0,0
Uruguay,Inflation Rate,2019-10-31T00:00:00,8.34,1,0,0
Uruguay,Inflation Rate,2019-11-30T00:00:00,8.4,1,0,0
Uruguay,Inflation Rate,2019-12-31T00:00:00,8.79,1,0,0
Uruguay,Inflation Rate,2020-01-31T00:00:00,8.71,1,0,0
Uruguay,Inflation Rate,2020-02-29T00:00:00,8.32,1,0,0
Uruguay,Inflation Rate,2020-03-31T00:00:00,9.16,1,0,0
Uruguay,Inflation Rate,2020-04-30T00:00:00,10.86,1,0,0
Uruguay,Inflation Rate,2020-05-31T00:00:00,11.05,1,0,0
Uruguay,Inflation Rate,2020-06-30T00:00:00,10.36,1,0,0
Uruguay,Inflation Rate,2020-07-31T00:00:00,10.13,1,1,1
Uruguay,Inflation Rate,2020-08-31T00:00:00,9.79,1,1,1
Uruguay,Inflation Rate,2020-09-30T00:00:00,9.92,1,1,1
Uruguay,Inflation Rate,2020-10-31T00:00:00,9.74,1,1,1
Uruguay,Inflation Rate,2020-11-30T00:00:00,9.59,1,1,1
Uruguay,Inflation Rate,2020-12-31T00:00:00,9.41,1,1,1
Uruguay,Inflation Rate,2021-01-31T00:00:00,8.89,1,1,1
Uruguay,Inflation Rate,2021-02-28T00:00:00,9.12,1,1,1
Uruguay,Inflation Rate,2021-03-31T00:00:00,8.34,1,1,1
Uruguay,Inflation Rate,2021-04-30T00:00:00,6.76,1,1,1
Uruguay,Inflation Rate,2021-05-31T00:00:00,6.64,1,1,1
Uruguay,Inflation Rate,2021-06-30T00:00:00,7.33,1,1,1
Uruguay,Inflation Rate,2021-07-31T00:00:00,7.3,1,1,1
Uruguay,Inflation Rate,2021-08-31T00:00:00,7.59,1,1,1
Uruguay,Inflation Rate,2021-09-30T00:00:00,7.41,1,1,1
Uruguay,Inflation Rate,2021-10-31T00:00:00,7.89,1,1,1
Uruguay,Inflation Rate,2021-11-30T00:00:00,7.86,1,1,1
Uruguay,Inflation Rate,2021-12-31T00:00:00,7.96,1,1,1
Uruguay,Inflation Rate,2022-01-31T00:00:00,8.15,1,1,1
Uruguay,Inflation Rate,2022-02-28T00:00:00,8.85,1,1,1
Uruguay,Inflation Rate,2022-03-31T00:00:00,9.38,1,1,1
Uruguay,Inflation Rate,2022-04-30T00:00:00,9.37,1,1,1
Argentina,Inflation Rate,2016-01-31T00:00:00,29.6,0,0,0
Argentina,Inflation Rate,2016-02-29T00:00:00,32.9,0,0,0
Argentina,Inflation Rate,2016-03-31T00:00:00,35,0,0,0
Argentina,Inflation Rate,2016-04-30T00:00:00,40.5,0,0,0
Argentina,Inflation Rate,2017-04-30T00:00:00,27.5,0,0,0
Argentina,Inflation Rate,2017-05-31T00:00:00,24,0,0,0
Argentina,Inflation Rate,2017-06-30T00:00:00,21.9,0,0,0
Argentina,Inflation Rate,2017-07-31T00:00:00,21.5,0,0,0
Argentina,Inflation Rate,2017-08-31T00:00:00,23.1,0,0,0
Argentina,Inflation Rate,2017-09-30T00:00:00,24.2,0,0,0
Argentina,Inflation Rate,2017-10-31T00:00:00,22.9,0,0,0
Argentina,Inflation Rate,2017-11-30T00:00:00,22.3,0,0,0
Argentina,Inflation Rate,2017-12-31T00:00:00,24.8,0,0,0
Argentina,Inflation Rate,2018-01-31T00:00:00,25,0,0,0
Argentina,Inflation Rate,2018-02-28T00:00:00,25.4,0,0,0
Argentina,Inflation Rate,2018-03-31T00:00:00,25.4,0,0,0
Argentina,Inflation Rate,2018-04-30T00:00:00,25.5,0,0,0
Argentina,Inflation Rate,2018-05-31T00:00:00,26.3,0,0,0
Argentina,Inflation Rate,2018-06-30T00:00:00,29.5,0,0,0
Argentina,Inflation Rate,2018-07-31T00:00:00,31.2,0,0,0
Argentina,Inflation Rate,2018-08-31T00:00:00,34.4,0,0,0
Argentina,Inflation Rate,2018-09-30T00:00:00,40.5,0,0,0
Argentina,Inflation Rate,2018-10-31T00:00:00,45.9,0,0,0
Argentina,Inflation Rate,2018-11-30T00:00:00,48.5,0,0,0
Argentina,Inflation Rate,2018-12-31T00:00:00,47.6,0,0,0
Argentina,Inflation Rate,2019-01-31T00:00:00,49.3,0,0,0
Argentina,Inflation Rate,2019-02-28T00:00:00,51.3,0,0,0
Argentina,Inflation Rate,2019-03-31T00:00:00,54.7,0,0,0
Argentina,Inflation Rate,2019-04-30T00:00:00,55.8,0,0,0
Argentina,Inflation Rate,2019-05-31T00:00:00,57.3,0,0,0
Argentina,Inflation Rate,2019-06-30T00:00:00,55.8,0,0,0
Argentina,Inflation Rate,2019-07-31T00:00:00,54.4,0,0,0
Argentina,Inflation Rate,2019-08-31T00:00:00,54.5,0,0,0
Argentina,Inflation Rate,2019-09-30T00:00:00,53.5,0,0,0
Argentina,Inflation Rate,2019-10-31T00:00:00,50.5,0,0,0
Argentina,Inflation Rate,2019-11-30T00:00:00,52.1,0,0,0
Argentina,Inflation Rate,2019-12-31T00:00:00,53.8,0,0,0
Argentina,Inflation Rate,2020-01-31T00:00:00,52.9,0,0,0
Argentina,Inflation Rate,2020-02-29T00:00:00,50.3,0,0,0
Argentina,Inflation Rate,2020-03-31T00:00:00,48.4,0,0,0
Argentina,Inflation Rate,2020-04-30T00:00:00,45.6,0,0,0
Argentina,Inflation Rate,2020-05-31T00:00:00,43.4,0,0,0
Argentina,Inflation Rate,2020-06-30T00:00:00,42.8,0,0,0
Argentina,Inflation Rate,2020-07-31T00:00:00,42.4,0,1,0
Argentina,Inflation Rate,2020-08-31T00:00:00,40.7,0,1,0
Argentina,Inflation Rate,2020-09-30T00:00:00,36.6,0,1,0
Argentina,Inflation Rate,2020-10-31T00:00:00,37.2,0,1,0
Argentina,Inflation Rate,2020-11-30T00:00:00,35.8,0,1,0
Argentina,Inflation Rate,2020-12-31T00:00:00,36.1,0,1,0
Argentina,Inflation Rate,2021-01-31T00:00:00,38.5,0,1,0
Argentina,Inflation Rate,2021-02-28T00:00:00,40.7,0,1,0
Argentina,Inflation Rate,2021-03-31T00:00:00,42.6,0,1,0
Argentina,Inflation Rate,2021-04-30T00:00:00,46.3,0,1,0
Argentina,Inflation Rate,2021-05-31T00:00:00,48.8,0,1,0
Argentina,Inflation Rate,2021-06-30T00:00:00,50.2,0,1,0
Argentina,Inflation Rate,2021-07-31T00:00:00,51.8,0,1,0
Argentina,Inflation Rate,2021-08-31T00:00:00,51.4,0,1,0
Argentina,Inflation Rate,2021-09-30T00:00:00,52.5,0,1,0
Argentina,Inflation Rate,2021-10-31T00:00:00,52.1,0,1,0
Argentina,Inflation Rate,2021-11-30T00:00:00,51.2,0,1,0
Argentina,Inflation Rate,2021-12-31T00:00:00,50.9,0,1,0
Argentina,Inflation Rate,2022-01-31T00:00:00,50.7,0,1,0
Argentina,Inflation Rate,2022-02-28T00:00:00,52.3,0,1,0
Argentina,Inflation Rate,2022-03-31T00:00:00,55.1,0,1,0
Argentina,Inflation Rate,2022-04-30T00:00:00,58,0,1,0
Argentina,Inflation Rate,2022-05-31T00:00:00,60.7,0,1,0
Argentina,Inflation Rate,2022-06-30T00:00:00,64,0,1,0
