Country,Category,DateTime,Value,TreatmentSubject,AfterIntervention,Treatm*AftIntv
Uruguay,GDP Annual Growth Rate,2016-03-31T00:00:00,0,1,0,0
Uruguay,GDP Annual Growth Rate,2016-06-30T00:00:00,1.2,1,0,0
Uruguay,GDP Annual Growth Rate,2016-09-30T00:00:00,1.9,1,0,0
Uruguay,GDP Annual Growth Rate,2016-12-31T00:00:00,3.5,1,0,0
Uruguay,GDP Annual Growth Rate,2017-03-31T00:00:00,4.2,1,0,0
Uruguay,GDP Annual Growth Rate,2017-06-30T00:00:00,2.3,1,0,0
Uruguay,GDP Annual Growth Rate,2017-09-30T00:00:00,1.3,1,0,0
Uruguay,GDP Annual Growth Rate,2017-12-31T00:00:00,-1.1,1,0,0
Uruguay,GDP Annual Growth Rate,2018-03-31T00:00:00,0.1,1,0,0
Uruguay,GDP Annual Growth Rate,2018-06-30T00:00:00,-0.6,1,0,0
Uruguay,GDP Annual Growth Rate,2018-09-30T00:00:00,0.6,1,0,0
Uruguay,GDP Annual Growth Rate,2018-12-31T00:00:00,1.8,1,0,0
Uruguay,GDP Annual Growth Rate,2019-03-31T00:00:00,-1.5,1,0,0
Uruguay,GDP Annual Growth Rate,2019-06-30T00:00:00,2.2,1,0,0
Uruguay,GDP Annual Growth Rate,2019-09-30T00:00:00,1.4,1,0,0
Uruguay,GDP Annual Growth Rate,2019-12-31T00:00:00,-0.5,1,0,0
Uruguay,GDP Annual Growth Rate,2020-03-31T00:00:00,-2.1,1,0,0
Uruguay,GDP Annual Growth Rate,2020-06-30T00:00:00,-13.6,1,1,1
Uruguay,GDP Annual Growth Rate,2020-09-30T00:00:00,-5.8,1,1,1
Uruguay,GDP Annual Growth Rate,2020-12-31T00:00:00,-2.9,1,1,1
Uruguay,GDP Annual Growth Rate,2021-03-31T00:00:00,-4.3,1,1,1
Uruguay,GDP Annual Growth Rate,2021-06-30T00:00:00,10.2,1,1,1
Uruguay,GDP Annual Growth Rate,2021-09-30T00:00:00,6.2,1,1,1
Uruguay,GDP Annual Growth Rate,2021-12-31T00:00:00,5.9,1,1,1
Argentina,GDP Annual Growth Rate,2016-03-31T00:00:00,0.7,0,0,0
Argentina,GDP Annual Growth Rate,2016-06-30T00:00:00,-3.9,0,0,0
Argentina,GDP Annual Growth Rate,2016-09-30T00:00:00,-3.3,0,0,0
Argentina,GDP Annual Growth Rate,2016-12-31T00:00:00,-1.5,0,0,0
Argentina,GDP Annual Growth Rate,2017-03-31T00:00:00,0.6,0,0,0
Argentina,GDP Annual Growth Rate,2017-06-30T00:00:00,2.3,0,0,0
Argentina,GDP Annual Growth Rate,2017-09-30T00:00:00,3.9,0,0,0
Argentina,GDP Annual Growth Rate,2017-12-31T00:00:00,4.5,0,0,0
Argentina,GDP Annual Growth Rate,2018-03-31T00:00:00,3.8,0,0,0
Argentina,GDP Annual Growth Rate,2018-06-30T00:00:00,-4,0,0,0
Argentina,GDP Annual Growth Rate,2018-09-30T00:00:00,-3.5,0,0,0
Argentina,GDP Annual Growth Rate,2018-12-31T00:00:00,-6.3,0,0,0
Argentina,GDP Annual Growth Rate,2019-03-31T00:00:00,-5.9,0,0,0
Argentina,GDP Annual Growth Rate,2019-06-30T00:00:00,0.6,0,0,0
Argentina,GDP Annual Growth Rate,2019-09-30T00:00:00,-1.8,0,0,0
Argentina,GDP Annual Growth Rate,2019-12-31T00:00:00,-1.2,0,0,0
Argentina,GDP Annual Growth Rate,2020-03-31T00:00:00,-5,0,0,0
Argentina,GDP Annual Growth Rate,2020-06-30T00:00:00,-19,0,1,0
Argentina,GDP Annual Growth Rate,2020-09-30T00:00:00,-10.2,0,1,0
Argentina,GDP Annual Growth Rate,2020-12-31T00:00:00,-4.3,0,1,0
Argentina,GDP Annual Growth Rate,2021-03-31T00:00:00,3.1,0,1,0
Argentina,GDP Annual Growth Rate,2021-06-30T00:00:00,18.1,0,1,0
Argentina,GDP Annual Growth Rate,2021-09-30T00:00:00,11.8,0,1,0
Argentina,GDP Annual Growth Rate,2021-12-31T00:00:00,8.9,0,1,0
