Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Ecuador,Government Budget Value,2016-01-31T00:00:00,262.5,Monthly,ECUADORGOVBUDVAL,2016-03-19T10:06:00
Ecuador,Government Budget Value,2016-02-29T00:00:00,829.26,Monthly,ECUADORGOVBUDVAL,2016-04-09T10:07:00
Ecuador,Government Budget Value,2016-03-31T00:00:00,-291.62,Monthly,ECUADORGOVBUDVAL,2016-05-14T10:08:00
Ecuador,Government Budget Value,2016-04-30T00:00:00,55.11,Monthly,ECUADORGOVBUDVAL,2016-06-11T10:09:00
Ecuador,Government Budget Value,2016-05-31T00:00:00,-47.56,Monthly,ECUADORGOVBUDVAL,2016-07-14T14:45:00
Ecuador,Government Budget Value,2016-06-30T00:00:00,-363.68,Monthly,ECUADORGOVBUDVAL,2016-08-11T16:37:00
Ecuador,Government Budget Value,2016-07-31T00:00:00,-779.56,Monthly,ECUADORGOVBUDVAL,2016-09-10T10:10:00
Ecuador,Government Budget Value,2016-08-31T00:00:00,-413.74,Monthly,ECUADORGOVBUDVAL,2016-10-08T10:07:00
Ecuador,Government Budget Value,2016-09-30T00:00:00,-923.23,Monthly,ECUADORGOVBUDVAL,2016-11-17T08:15:00
Ecuador,Government Budget Value,2016-10-31T00:00:00,-427.14,Monthly,ECUADORGOVBUDVAL,2017-01-06T18:15:00
Ecuador,Government Budget Value,2016-11-30T00:00:00,-811.92,Monthly,ECUADORGOVBUDVAL,2017-01-14T10:11:00
Ecuador,Government Budget Value,2016-12-31T00:00:00,-1611.83,Monthly,ECUADORGOVBUDVAL,2017-04-15T10:12:00
Ecuador,Government Budget Value,2017-01-31T00:00:00,132,Monthly,ECUADORGOVBUDVAL,2017-09-16T10:12:00
Ecuador,Government Budget Value,2017-02-28T00:00:00,-390.23,Monthly,ECUADORGOVBUDVAL,2017-09-16T10:12:00
Ecuador,Government Budget Value,2017-03-31T00:00:00,-478.1,Monthly,ECUADORGOVBUDVAL,2017-09-16T10:12:00
Ecuador,Government Budget Value,2017-04-30T00:00:00,-660.67,Monthly,ECUADORGOVBUDVAL,2017-09-16T10:12:00
Ecuador,Government Budget Value,2017-05-31T00:00:00,3.31,Monthly,ECUADORGOVBUDVAL,2017-09-16T10:12:00
Ecuador,Government Budget Value,2017-06-30T00:00:00,-646.02,Monthly,ECUADORGOVBUDVAL,2017-09-16T10:12:00
Ecuador,Government Budget Value,2017-07-31T00:00:00,-198.34,Monthly,ECUADORGOVBUDVAL,2017-10-12T16:09:00
Ecuador,Government Budget Value,2017-08-31T00:00:00,40.16,Monthly,ECUADORGOVBUDVAL,2017-11-18T10:14:00
Ecuador,Government Budget Value,2017-09-30T00:00:00,-339.54,Monthly,ECUADORGOVBUDVAL,2018-04-18T13:52:00
Ecuador,Government Budget Value,2017-10-31T00:00:00,1588.25,Monthly,ECUADORGOVBUDVAL,2018-01-13T10:11:00
Ecuador,Government Budget Value,2017-11-30T00:00:00,-660.19,Monthly,ECUADORGOVBUDVAL,2018-02-17T10:13:00
Ecuador,Government Budget Value,2017-12-31T00:00:00,-1870.94,Monthly,ECUADORGOVBUDVAL,2018-03-17T10:12:00
Ecuador,Government Budget Value,2018-01-31T00:00:00,353.87,Monthly,ECUADORGOVBUDVAL,2018-04-14T10:16:00
Ecuador,Government Budget Value,2018-02-28T00:00:00,-371.29,Monthly,ECUADORGOVBUDVAL,2018-05-19T10:15:00
Ecuador,Government Budget Value,2018-03-31T00:00:00,-410.06,Monthly,ECUADORGOVBUDVAL,2018-06-15T11:30:00
Ecuador,Government Budget Value,2018-04-30T00:00:00,197.27,Monthly,ECUADORGOVBUDVAL,2018-07-14T10:11:00
Ecuador,Government Budget Value,2018-05-31T00:00:00,545.53,Monthly,ECUADORGOVBUDVAL,2018-08-18T10:15:00
Ecuador,Government Budget Value,2018-06-30T00:00:00,-614.41,Monthly,ECUADORGOVBUDVAL,2018-09-15T10:11:00
Ecuador,Government Budget Value,2018-07-31T00:00:00,-128.33,Monthly,ECUADORGOVBUDVAL,2018-10-13T10:10:00
Ecuador,Government Budget Value,2018-08-31T00:00:00,-294.49,Monthly,ECUADORGOVBUDVAL,2018-11-17T10:10:00
Ecuador,Government Budget Value,2018-09-30T00:00:00,-466.91,Monthly,ECUADORGOVBUDVAL,2018-12-15T10:14:00
Ecuador,Government Budget Value,2018-10-31T00:00:00,-59.27,Monthly,ECUADORGOVBUDVAL,2019-01-19T10:16:00
Ecuador,Government Budget Value,2018-11-30T00:00:00,-305.96,Monthly,ECUADORGOVBUDVAL,2019-02-16T10:19:00
Ecuador,Government Budget Value,2018-12-31T00:00:00,-1092.67,Monthly,ECUADORGOVBUDVAL,2019-03-16T10:16:00
Ecuador,Government Budget Value,2019-01-31T00:00:00,668.58,Monthly,ECUADORGOVBUDVAL,2019-04-13T10:38:00
Ecuador,Government Budget Value,2019-02-28T00:00:00,-480.44,Monthly,ECUADORGOVBUDVAL,2019-05-18T10:07:00
Ecuador,Government Budget Value,2019-03-31T00:00:00,116.16,Monthly,ECUADORGOVBUDVAL,2019-06-15T10:10:00
Ecuador,Government Budget Value,2019-04-30T00:00:00,57.95,Monthly,ECUADORGOVBUDVAL,2019-07-13T10:10:00
Ecuador,Government Budget Value,2019-05-31T00:00:00,-324.1,Monthly,ECUADORGOVBUDVAL,2019-08-10T10:09:00
Ecuador,Government Budget Value,2019-06-30T00:00:00,-575,Monthly,ECUADORGOVBUDVAL,2019-09-14T10:08:00
Ecuador,Government Budget Value,2019-07-31T00:00:00,-625.65,Monthly,ECUADORGOVBUDVAL,2019-10-12T10:06:00
Ecuador,Government Budget Value,2019-08-31T00:00:00,-154.23,Monthly,ECUADORGOVBUDVAL,2019-11-16T10:06:00
Ecuador,Government Budget Value,2019-09-30T00:00:00,104.66,Monthly,ECUADORGOVBUDVAL,2019-12-14T10:09:00
Ecuador,Government Budget Value,2019-10-31T00:00:00,-270,Monthly,ECUADORGOVBUDVAL,2020-01-18T10:08:00
Ecuador,Government Budget Value,2019-11-30T00:00:00,27.5,Monthly,ECUADORGOVBUDVAL,2020-03-14T10:10:00
Ecuador,Government Budget Value,2019-12-31T00:00:00,-1207.07,Monthly,ECUADORGOVBUDVAL,2020-03-14T10:10:00
Ecuador,Government Budget Value,2020-01-31T00:00:00,752.75,Monthly,ECUADORGOVBUDVAL,2020-03-14T10:10:00
Ecuador,Government Budget Value,2020-02-29T00:00:00,-947.35,Monthly,ECUADORGOVBUDVAL,2020-04-11T10:08:00
Ecuador,Government Budget Value,2020-03-31T00:00:00,832.9,Monthly,ECUADORGOVBUDVAL,2020-05-23T10:07:00
Ecuador,Government Budget Value,2020-04-30T00:00:00,-189.09,Monthly,ECUADORGOVBUDVAL,2020-06-13T10:08:00
Ecuador,Government Budget Value,2020-05-31T00:00:00,-521.75,Monthly,ECUADORGOVBUDVAL,2020-07-11T10:09:00
Ecuador,Government Budget Value,2020-06-30T00:00:00,-470.53,Monthly,ECUADORGOVBUDVAL,2020-08-15T10:11:00
Ecuador,Government Budget Value,2020-07-31T00:00:00,-152.66,Monthly,ECUADORGOVBUDVAL,2020-09-12T10:10:00
Ecuador,Government Budget Value,2020-08-31T00:00:00,-359.42,Monthly,ECUADORGOVBUDVAL,2020-10-10T10:10:00
Ecuador,Government Budget Value,2020-09-30T00:00:00,-119.87,Monthly,ECUADORGOVBUDVAL,2020-11-14T10:08:00
Ecuador,Government Budget Value,2020-10-31T00:00:00,-1676.67,Monthly,ECUADORGOVBUDVAL,2020-12-12T10:07:00
Ecuador,Government Budget Value,2020-11-30T00:00:00,-388.77,Monthly,ECUADORGOVBUDVAL,2021-01-16T10:10:00
Ecuador,Government Budget Value,2020-12-31T00:00:00,-2215.02,Monthly,ECUADORGOVBUDVAL,2021-02-13T10:06:00
Ecuador,Government Budget Value,2021-01-31T00:00:00,-528.99,Monthly,ECUADORGOVBUDVAL,2021-05-15T10:09:00
Ecuador,Government Budget Value,2021-02-28T00:00:00,1350.49,Monthly,ECUADORGOVBUDVAL,2021-05-15T10:09:00
Ecuador,Government Budget Value,2021-03-31T00:00:00,-577.43,Monthly,ECUADORGOVBUDVAL,2021-05-15T10:09:00
Ecuador,Government Budget Value,2021-04-30T00:00:00,780.84,Monthly,ECUADORGOVBUDVAL,2021-06-12T10:08:00
Ecuador,Government Budget Value,2021-05-31T00:00:00,-554.33,Monthly,ECUADORGOVBUDVAL,2021-07-10T10:09:00
Ecuador,Government Budget Value,2021-06-30T00:00:00,-67.01,Monthly,ECUADORGOVBUDVAL,2021-08-14T10:05:00
Ecuador,Government Budget Value,2021-07-31T00:00:00,-87.33,Monthly,ECUADORGOVBUDVAL,2021-09-18T10:05:00
Ecuador,Government Budget Value,2021-08-31T00:00:00,-516.21,Monthly,ECUADORGOVBUDVAL,2021-10-16T10:05:00
Ecuador,Government Budget Value,2021-09-30T00:00:00,20.94,Monthly,ECUADORGOVBUDVAL,2021-11-13T10:05:00
Ecuador,Government Budget Value,2021-10-31T00:00:00,-47.96,Monthly,ECUADORGOVBUDVAL,2021-12-11T10:06:00
Ecuador,Government Budget Value,2021-11-30T00:00:00,-214.32,Monthly,ECUADORGOVBUDVAL,2022-01-15T10:05:00
Ecuador,Government Budget Value,2021-12-31T00:00:00,-1249.29,Monthly,ECUADORGOVBUDVAL,2022-02-12T10:05:00
Ecuador,Government Budget Value,2022-01-31T00:00:00,1077.3,Monthly,ECUADORGOVBUDVAL,2022-04-18T16:18:00
Ecuador,Government Budget Value,2022-02-28T00:00:00,-135.15,Monthly,ECUADORGOVBUDVAL,2022-04-16T10:05:00
Ecuador,Government Budget Value,2022-03-31T00:00:00,121,Monthly,ECUADORGOVBUDVAL,2022-05-14T10:05:00
Ecuador,Government Budget Value,2022-04-30T00:00:00,702.79,Monthly,ECUADORGOVBUDVAL,2022-06-18T10:06:00
